id,name,publisher,description,total_episodes,languages,media_type,explicit
0oonytZGcyIWv9YwCkIEmQ,[MHA Podfic] Sharper Than a Serpent's Tooth,PurpleStar,"This is a My Hero Academia podfic (fanfic audiobook adaptation) about a vigilante on her chaotic found family filled path to the slightly less murky side of the law. Marked 'explicit' for foul language and darker subject matters. Content warnings: Tragic backstory, Torture, Self-Harm, Child Soldiers, Child Abuse, Post-Traumatic Stress Disorder - PTSD, Panic Attacks, Dehumanization, Trauma, Blood and Gore & Minor Character Death.",10,['en'],audio,TRUE
5AFkDkmHdxzA4hbEamprhX,#Unfollow: Breaking Social Media Addictions,Unfollow,"#Unfollow is a podcast featuring informative tools and clinical resources backed by empirical based studies to help end social media addictions and internet related anxiety and stress disorders. Brought to you by Drugfr33.org. Visit drugfr33.org for more information on Online Safety & Wellness. Pre-Order the highly anticipated book ⁠'Faith Over Technology⁠' (search for 'Faith Over Technology by J.A. Thomas'), the follow up to the law enforcement acclaimed ⁠'Delete Me⁠' on Amazon KDP Today! Support this podcast: https://creators.spotify.com/pod/show/unfollow/support",22,['en'],mixed,FALSE
0glmeSy8kDcr0InwjQuA6N,Actively Autistic,Actively Autistic,"The community that was created on Facebook and floated across other social media platforms, is now on the air! Figuratively speaking, of course. This podcast will be talking about the articles posted to the Facebook page, have guest speakers, and talk about personal experiences. We'll also be touching on other difficult to talk about topics other than Autism.",75,['en'],audio,TRUE
24P0gjO9AG8lG5rFGtyRdZ,ADHD Awareness: Understanding Girls & Women with ADHD,ADHD Awareness Month,"Our podcast features Ellen B. Littman, a clinical psychologist who has specialized in working with those with neurodiverse brains for over 30 years. Described by the American Psychological Association as ""a pioneer in the identification of gender differences in ADHD,"" Dr. Littman has extensive experience with issues affecting neurodiverse women and girls. You may know of Dr. Littman from her book Understanding Girls with ADHD, first published in 1999, with a second edition published in 2015. Our podcast today original aired as an Ask the Expert webinar hosted by CHADD’s National Resource",2,['en-US'],audio,FALSE
4jvSJ5oLlfzqkaHNVaQUxF,ADHD Book Club,Distracted Dialogues,"ADHD Book Club is a podcast that celebrates reading and neurodiversity. We're a group of friends who are always on the lookout for good books, but we know that life can get busy and overwhelming. That's why we've designed our book club to be ADHD-friendly: we read small, manageable chunks of books and then come together on the podcast to discuss them. Our conversations are lively, unscripted, and sometimes chaotic, but always honest and insightful. We share our personal perspectives, ask each other thought-provoking questions, and let our brains wander wherever they may. Support this podcast: https://creators.spotify.com/pod/show/matchamellow/support",75,['en'],audio,TRUE
3gGSdfMFOaDwv9jL9iye0k,ADHD-Friendly,Patty Blinderman,"Join Patty as she uses her ADHD-friendly lens to explore ways to create more ease for anyone impacted by ADHD. ADHD-Friendly exists to support individuals impacted by ADHD to tilt the playing field and THRIVE with ADHD. Patty shares ADHD-friendly products, services, tools, systems, books, and more- all focused on closing the gap between struggling and thriving!",163,['en-US'],audio,FALSE
3ITUrhn1nDUmSUNsikZWSx,Adult ADHD/ASD: My Journey of Self-Discovery and Co-Occurring Diagnoses,Adult_ADHD_ASD_Journey,"I am a 31 year old female who has gone through the process of being diagnosed with ADHD and ASD. This podcast will take you through my journey as I live it. You will get to hear about my story so far; my symptoms, the diagnostic processes I experience and quirky little tales about what has led me to this moment in my life. Whether you have a diagnosis of ADHD and/or ASD, you suspect you may have it, you are curious about the topic, or you are just interested in hearing the life stories of others, please take a listen and join me on my journey! https://www.buymeacoffee.com/adultadhd Instagram: @adult_adhd_asd_journey Facebook: @adultadhdjourney",37,['en-AU'],audio,TRUE
1kvvu0KIj0ZPBdf1Zd1Xmy,Anorexics and Bulimics Anonymous Audio Book,ABA,"Anorexics and Bulimics Anonymous (ABA) is a 12-step fellowship for everyone struggling with anorexia, bulimia, binge eating, overexercising, and any other forms of eating disorders or disordered eating. Eating disorder recovery is possible! For this podcast, our amazing fellows have come together to read parts of the ABA book and create an audiobook, accessible for everyone to read! To know more about ABA, visit https://aba12steps.org/",17,['en'],audio,FALSE
3P9pb2lCVsOYZZ4GKPatFl,"Are You There, Midlife? It’s Me, Monica. | Balance Hormones Naturally in Perimenopause, Menopause for Women Over 40",Monica Topete | Holistic Health Coach | Perimenopause Educator | Hormone Imbalance Survivor,"***TOP 2% GLOBAL PODCAST*** The Go-to Podcast for Midlife Women Who Want To Balance Hormones Naturally Ugh. I feel so bloated. I’m retaining more water than the Hoover Dam. What? Not another pimple? It’s like puberty all over again! Sleep? What’s that like? (I forget.:＜) Umm, I just turned 40….. Aren’t I too young for this?!? — Hello Friend. (Can I call you “friend”? ‘Cuz we’re already friends in my head:) Welcome to Are You There, Midlife? It’s Me, Monica. I’m Monica Lane Topete, Certified Nutrition Coach Coach, Peri+ Menopause Educator, Personal Trainer, NASM Behavior Change Specialist, and Hormone Imbalance Survivor. And I’m on a mission to help women in mid life balance their hormones naturally without drugs, doctors (or divorce!) It wasn’t too long ago when perimenopause came crashing through my door with a ton of luggage (‘cuz she was prepared to stay for A WHILE!) I remember how overwhelmed, anxious, and pretty much clueless I was about what was happening to my body…and how desperate I was for a diagnosis! But, after SEVERAL visits to my doctor who gave me a clean bill of health and lab results that came back “within normal range,” I finally decided to take my health into my own hands. I spent OVER A YEAR combing through PubMed research studies, taking online courses in naturopathy and functional medicine, and becoming my own human guinea pig to crack the hormone code and create a research-based program that really worked to balance my hormones, put the kibosh on perimenopause symptoms, and lose stubborn weight–and keep it off–for more than 10 years! And now, I want to share it with you. Join me as I demystify the hormonal transition in midlife and spill the ”tea” on what to expect when you’re expecting perimenopause…and beyond. From anxiety to insomnia, body fat to funky body odor (yeah, that’s a thing!), I’ll unpack all the ”weird stuff” going on inside our midlife bodies, plus give you the latest science and holistic solutions to balance it all. ...Are you tired of dealing with heavy, painful periods that look like a crime scene?… ...Or struggling with symptoms like chronic headaches, fatigue, or brain fog that….(What was I saying again?).... ...Are you beyond frustrated doing “all the things” to lose weight—but are still packing on the pounds faster than a sumo wrestler in training Then, girl, you’re in the right place.:) There IS a way you can balance your hormones naturally that doesn’t involve band-aid solutions like antidepressants or birth control pills (which are a BIG mistake! HUGE!)...and that only provide temporary relief without fixing the root problem. In this podcast, you’ll learn how to: - End painful periods, menstrual headaches, and PMS - Improve your sleep, reduce night sweats, and increase your overall energy - Reduce hormonal depression and anxiety–WITHOUT meds! - Alleviate symptoms of inflammation like joint pain, hair loss, gut issues, and allergies - Move the scale on stubborn weight and belly fat (and never starve yourself again!) - Talk to your partner about perimenopause (without sounding like you’re totally insane!) It’s TIME to take back control of your hormones and show ‘em who’s boss...so you can feel confident and love yourself again! ...Without ever stepping foot inside a doctor’s office or resorting to crazy hormone pellets. No need to make an appointment or even change outta your PJs. Just come as you are–wherever you are–as I discuss ALL things hormones in midlife–with a bit of saucy humor. (‘Cuz laughing is better than crying, unless it makes you pee.:) --- Next Steps: - Take my FREE Hormone Quiz: https://bit.ly/HormoneSelfAssessment - Book a 30-minute Hormone Clarity Call: https://bit.ly/hormonecall - Become an AYTML Podcast Insider: https://areyoutheremidlife.com/ - Record a Question to be Answered on the Pod: https://www.speakpipe.com/AreYouThereMidlife - Shop my Favorite Hormone Balancing Supplements & Save 5% or More on Every Order (Enter promo code EUQ1741): https://www.iherb.com/me/HormoneBalance - Email Me: monica@monicalanetopete.com *Disclaimer: Information provided in this podcast is for educational and entertainment purposes only. The information is not intended or implied to supplement or replace professional medical treatment, advice, and/or diagnosis. I share the strategies that have worked for me and you are advised to do your own research and speak to your medical provider for care.",51,['en'],audio,TRUE
2jcWtR1NdeE8PUDmMrHkzD,AudioBooks For ADHD Minds,Tiffany Saker Creative,"I'm Tiffany I have ADHD! (WOO) For majority of my life I have struggled with reading, I often find myself looking at the words without actually reading them. So I thought I'd create my own audio book sessions. Not only reading out loud but also enhancing with sound FX, music, creating a soundscape to keep our minds engaged. Not just for people with ADHD, anyone who wants to read! Relax and enjoy.",22,['en'],audio,TRUE
2POoTBvzgPr0yIkU7dmw2m,Autism in the Adult,"Theresa M Regan, Ph.D.","Theresa Regan, Ph.D., is a rare combination of adult neuropsychologist (specialist in brain-behavior relationships), parent of an amazing child on the autism spectrum, and certified autism specialist with the IBCCES. She is deeply grateful to bring validation, hope, and purpose to individuals and their families living on the autism spectrum. With this mission at its core, she founded and directs the OSF HealthCare Adult Diagnostic Autism Clinic in central Illinois. Her books include Understanding Autism in Adults and Aging Adults and Understanding Autistic Behaviors. For more information and to join her new online autism community for free visit www.adultandgeriatricautism.com. Join her for podcast topics related to autism in the adult. The opinions expressed are not necessarily those of her employer. All listeners are encouraged to research multiple opinions about the topics discussed before making their own decisions.",69,['en'],audio,FALSE
5mtjxCVcTyDcnx8j63n8La,Autism Stories,Autism Personal Coach/Doug Blecher,"Autistic people are the true experts of the autistic experience. Autism Stories will help you to live your best autistic life by interviewing autistic people and others in the autism community who share their experiences, stories, and advice with you. Learn how coaching can help you then book a free call with Autism Personal Coach https://autismpersonalcoach.com",383,['en'],audio,FALSE
4J5A8GVr8YJ9apyPdFfkC4,"Awakened Foreign-Born Mama | Trauma Healing, Reconnecting to True Self, Subconscious Reprogramming, Health, Happiness and Thriving",Nurzhan Sterbenz I Transformational Trauma Coach for Immigrant Moms I Trauma thriver,"Welcome to Awakened Foreign-Born Mama, a podcast taking an honest look at how unhealed childhood traumas impact our lives as immigrant mothers - and what we can do to break free and truly thrive.For many of us, the challenges of mothering in a new culture are compounded by past hurts, dysfunctions, and oppressive environments we endured growing up. These unresolved pains and unhealthy patterns seep into our mental health, relationships, marriages, parenting, and overall sense of self-worth.But you don't have to remain stuck or merely survive. On this podcast, we explore the crucial question: Despite your traumas, how can you heal yourself and thrive - creating an extraordinary, fulfilling life as an immigrant mom?Through raw, insightful stories and expert guidance, we'll dive deep into generational wounds, healing childhood trauma, and unlocking pathways to happiness, peace, success or anything else that our hearts desire. You'll gain life-changing mindsets and practical tools to:- Break cycles of dysfunction and limiting beliefs- Overcome anxiety, depression, and relationship struggles - Rediscover your self-confidence and most authentic self- Nurture yourself and your children from a place of wholenessJoin our community as we forge a new way forward together, building resilience, self-compassion and self-love to transform our past traumas into personal power and profound growth.Healing and thriving awaits, mama!Next steps:Join the Free Facebook Community →Awakened Foreign-Born Mama Trauma Recovery Community Trauma Coaching with Me → DM me on Facebook.",28,['en-US'],audio,FALSE
4c7m0dW63qouvs0TzF1rCH,Be Neuroinclusive,Victoria Tretis,"If you're a CEO, director, diversity or HR Lead, how is your company supporting the one in five colleagues who think, learn, and respond in different ways due to neurodivergence? Because when workplaces are set up for the neurotypical, bias and exclusions can creep in. And without a neuroinclusive approach, team members can become frustrated and disengage, impacting productivity, retention, and profitability. I’m Victoria Tretis, and I’m a certified coach, trainer and speaker who specialises in neuroinclusivity. Companies work with me to raise awareness of the benefits of neurodiversity at work through training, coaching and consultancy. Are you a leader who’s interested in exploring neuroinclusion at your company? To discuss your ideas and gain insights into successful practices in the world of work, feel free to schedule an insights call with me. Let's have a conversation and explore how we can foster neuroinclusion together. Click the link to go directly to my online calendar: https://bookme.name/victoriatretis/lite/discovery-30",9,['en-GB'],audio,FALSE
6RGGInXwRDux3YvVQGT3p7,Bear Psychology Podcast,Dr. Anna Baranowsky,"Dr. Anna Baranowsky is a Canadian Clinical Psychologist, CEO of the Traumatology Institute, Founder and President of the Board at Trauma Practice. She is the author of two books on trauma, numerous courses to help train professionals in trauma mental health and the developer of the Trauma Recovery Program for Self-Guided trauma care. She works with trauma survivors and those with Post-Traumatic Stress Disorder (PTSD) on post-traumatic growth and recovery. Through her work she believes that when we share, dialogue and feel supported, it provides a powerful foundation for forward movement in our understanding and the care needed. In her own words ""I have found that the most profound changes occur when a person truly feels heard and understood - I like to think of it as deeply BEARING WITNESS to life evolving. We can feel incredibly stuck when we live with our fears, stressors and troubles in isolation."" Dr.Baranowsky is the host of the Bear Psychology Show, focusing on bearing witness to Evolving Mood, Mind, Health. Her talks revolve around recovery, relationships, work and life adventures. She is dedicated to assisting organizations and health professionals who help trauma survivors to ensure a trauma informed lens of care can grow in community health networks. With that vision in 1998, the Traumatology Institute Canada (TIC) was established. TIC has trained thousands of individuals nationally and internationally. Dr. Baranowsky serves on the board of directors of the Academy of Traumatology and is a Board Certified Expert in Traumatic Stress through the American Academy of Experts in Traumatic Stress and is recognized by The National Center for Crisis Management. She has published in the area of Post-Traumatic Stress, Compassion Fatigue, and therapeutic relationships (the Silencing Response). Copyright: Dr. Anna Baranowsky, 2020",77,['en'],audio,FALSE
1qyEXw1j3KfQ7RJBqjdDKP,Because You're In Their World,An Nguyễn,"This is a short story about what happened between two friends. The author of the book is a person suffering from borderline personality disorder and depression. And he is also about to part with his friend because of a malignant disease. He wants to leave a farewell gift to his friend before he leaves this world. ""Because You Are In Their World"" is a healing book.",1,['vi'],audio,FALSE
64e8F6wByKqG4FkTnoISGE,Before The Dawn,Liron Cohen,"This is my journey to mental health. My journey has presented me with challenges since I was very very young. From actual mental health struggles, with social anxiety, OCD, generalized anxiety disorder, panic disorder, depression, suicidal ideation, eating disorders, and self harm, to other parts of my life that required their own mental gymnastics: being a highly sensitive person, being a gay woman (which is not a mental health issue on its own, but living as a suppressed minority in this world can be), being diagnosed with a chronic illness, figuring out I had ADHD at age 40… And I also carry with me some of my forefathers’ scars, as the granddaughter of Holocaust survivors. I’m not doing this podcast because it’s all over. I’m not here to tell you how I made it out the other end. Mental health is a lifelong journey that requires constant maintenance, and it keeps presenting us with new challenges as life’s twists and turns unfold. But after thirty-some years of dealing with all of these issues, I do have some insights that I’d love to share.I tell my story with the hope that sharing my experiences with others might make someone else feel less alone, less guilty, less scared and ashamed.I tell my story for others who are struggling and for those who love them.I tell my story so we can take this journey together. Traveling together, the journey is always made easier, or at the very least, more pleasant.This is my story, and my story alone. I am not a doctor, a therapist, or an expert. I am just a person who wants to shed light on subject matters that are all too often kept in the dark.This is a bi-weekly podcast. New episodes are posted every other Tuesday, at 4am EST.Follow on Facebook: https://www.facebook.com/beforethedawnjourney and on @beforethedawnjourney on Instagram.Art by Dania Latar https://dlatar1.wixsite.com/danialatar/works .",12,['en'],audio,FALSE
6nOgftFeD0YKbqf6ynDudU,Bleep Bulimia,LaurieAnn Campbell,"This podcast is all about different ways to support recovery from bulimia, primarily focussing on Midlife Bulimia. No ONE way is right for everyone when it comes to recovery. This Podcast aims at inviting specialized guests who are able to help with providing different approaches, from emotional eating to spiritual methods of overcoming it, and even methods that likely many have not even heard of before yet may be that SPARK to move forward and say ""yes, this form of recovery I can relate to"". LaurieAnn is a Masters Certified Handwriting Analyst specializing in cognitive and grapho-therapy. She is the author of How To Have Your Cake & Not Eat It All Too - Adult Bulimia Recovery Guide and soon to be the author of Sherri's World, a fiction based on her story of struggling with bulimia for 30 years and the 13 years of living as a recovered bulimic. LaurieAnn is the author of ""Hampy"" (which includes her illustrated character), Publisher's Award-Winning book Make Up Not Required - How To Brand The True You, and contributing author to the #1 Best Seller 1 Habit for Entrepreneurial Success by Forbes Riley & Steve Samblis.",120,['en-US'],audio,TRUE
7pObZREXe4d59SS2hi2EfG,Brain Health and Healing,Eva Edelman and Simone Jeanette,"Get power over anxiety, mood, voices, learning and memory issues, addiction, OCD, paranoia, etc. We look at root causes and triggers, biotypes, nutrients and herbs, allergies and sensitivities, metals and toxins, environment and epigenetics. We're talking nutritional psychiatry, integrative psychiatry, and functional medicine. Come join us for knowledge, stories, laughter, and serious talk about the brain: how it works, how it is nourished and cared for, and how mental health evolves. And if you want more, you can always look to my books at https://www.boragebooks.com New podcasts will come out twice a month. Note: What we say in this podcast is educational only. It is not medical diagnosis or treatment advice for the individual. If you suspect illness, see a knowledgeable physician.",21,['en-US'],audio,FALSE
5pP6IoHbBnyiF0qyFTSvCi,"But, He Spit in My Coffee",Keri Williams,A true story about adopting a child with Reactive Attachment Disorder (RAD). Listen to the unabridged award-winning audiobook here.,21,['en-US'],audio,FALSE
